year,MSOA21CD,MSOA21NM,study_submarket,n_quarters,office_units,office_total_floor_area,office_median_floor_area,office_p25_floor_area,office_p75_floor_area,office_small_unit_share,office_large_unit_share,office_large_floor_share,office_total_rateable_value,office_vacancy_proxy
2019,E02000001,City of London 001,City,4,14126.75,6144955.77,49.6425,16.856875,289.254375,0.6067834234067262,0.09555126436062854,0.7097383758713672,1895141170.0,0.18472161773811954
2019,E02000174,Camden 009,Tech Belt & Midtown,4,44.25,6892.4175,77.8875,29.754375,155.9475,0.6154761904761905,0.0,0.0,1798102.5,0.46898496240601506
2019,E02000177,Camden 012,Tech Belt & Midtown,4,33.75,2977.8224999999998,102.71000000000001,68.7675,146.23125,0.46576923076923077,0.0,0.0,950225.0,0.4180926916221034
2019,E02000180,Camden 015,Tech Belt & Midtown,4,35.75,6075.657499999999,100.2875,48.175000000000004,218.3375,0.48863636363636365,0.0,0.0,1580537.5,0.11363636363636365
2019,E02000183,Camden 018,Tech Belt & Midtown,4,266.75,54332.3425,57.34,23.47875,169.20625,0.6223232339787014,0.052758006948527045,0.4463696413421927,18264975.0,0.17553667929370392
2019,E02000184,Camden 019,Tech Belt & Midtown,4,245.75,62028.64249999999,85.47250000000001,27.923125,250.1,0.5436295592960926,0.05468434410026214,0.46258155342487584,18810237.5,0.18224620997509278
2019,E02000186,Camden 021,Tech Belt & Midtown,4,684.75,412036.01,66.1825,17.736874999999998,340.975,0.5678987437275309,0.11337983522170542,0.7572569480332187,121919522.5,0.20929672572507582
2019,E02000187,Camden 022,Tech Belt & Midtown,4,424.0,192987.305,41.64625,17.961875,211.665625,0.6690928780214495,0.08065992649325983,0.7419901431309588,112090637.5,0.059529338317408385
2019,E02000188,Camden 023,Tech Belt & Midtown,4,233.5,95736.405,127.05250000000001,37.210625,409.57500000000005,0.43229689173447644,0.07691654265024239,0.5539510096555204,27137385.0,0.590796761521319
2019,E02000191,Camden 026,West End,4,946.25,250453.13,67.65,29.070625,222.946875,0.5877065174587179,0.04748293280820794,0.4939227459763878,92626617.5,0.19654500200978983
2019,E02000192,Camden 027,Tech Belt & Midtown,4,2186.75,430928.7125,49.4725,17.585,157.894375,0.660554367981539,0.04326815013239502,0.482893718797427,127988465.0,0.2381707142135909
2019,E02000193,Camden 028,Tech Belt & Midtown,4,2916.75,783376.305,62.82125,20.1425,244.57125,0.6005761990281834,0.06068012743837963,0.5178560152770787,258475490.0,0.2154377727532202
2019,E02000369,Hackney 025,Tech Belt & Midtown,4,131.5,18421.6125,87.125,56.754374999999996,152.84375,0.5706909548195619,0.015262946366870103,0.1217033655858789,4039275.0,
2019,E02000370,Hackney 026,Tech Belt & Midtown,4,255.5,89057.6,157.3175,82.5,278.978125,0.32910265006124073,0.03637422240489342,0.45336386467615575,19029125.0,0.0
2019,E02000566,Islington 013,Tech Belt & Midtown,4,20.0,7528.3550000000005,141.0075,82.88,347.33250000000004,0.3,0.15,0.5377934781268698,1785150.0,0.13333333333333333
2019,E02000569,Islington 016,Tech Belt & Midtown,4,37.25,11656.527500000002,68.71499999999999,35.43125,179.87062500000002,0.6774436090225564,0.0537593984962406,0.6982843855882515,2651150.0,0.0
2019,E02000570,Islington 017,Tech Belt & Midtown,4,40.25,6639.637500000001,95.30625,71.988125,155.58625,0.5462276117122074,0.0,0.0,1612900.0,0.05474165676371559
2019,E02000571,Islington 018,Tech Belt & Midtown,4,118.25,14934.4375,98.63,50.857499999999995,177.009375,0.49578680432588873,0.0,0.0,2185562.5,0.4093531141840399
2019,E02000572,Islington 019,Tech Belt & Midtown,4,56.5,27350.949999999997,196.91875000000002,126.1475,522.3125,0.212406015037594,0.1593045112781955,0.5809786164284758,8000300.0,0.0664374840845429
2019,E02000573,Islington 020,Tech Belt & Midtown,4,617.25,130848.715,58.698750000000004,26.4125,169.6375,0.6351783326520137,0.027077281311356134,0.45230779905366003,25069540.0,0.24429078090796552
2019,E02000574,Islington 021,Tech Belt & Midtown,4,309.5,162599.105,138.89,33.97375,369.21999999999997,0.4087262430628382,0.09836006736650109,0.6709938140669915,48303568.75,0.0948652029094804
2019,E02000575,Islington 022,Tech Belt & Midtown,4,2588.25,687077.4675,103.72,36.6,227.59125,0.4828734515651355,0.04906064276224324,0.4494305763255513,207333575.0,0.10389480705568349
2019,E02000576,Islington 023,Tech Belt & Midtown,4,1283.5,544285.1224999999,163.1075,47.121875,448.37,0.3812870651384971,0.0954741104095609,0.5472164723929422,153511081.25,0.1616718703305553
2019,E02000588,Kensington and Chelsea 012,West End,4,514.0,78783.6625,66.6,22.6675,183.65625,0.6310481606303392,0.019657144320115883,0.18254014004931202,36214237.5,0.0596799043205046
2019,E02000590,Kensington and Chelsea 014,West End,4,221.25,27735.835,46.66875,22.271250000000002,86.673125,0.7604486067721361,0.02259918804036451,0.31329417111428143,13006850.0,0.237100620974513
2019,E02000594,Kensington and Chelsea 018,West End,4,101.75,20816.329999999998,96.225,37.66125,210.6625,0.5088641517212946,0.02025355596784168,0.16031562966390947,9360487.5,0.0731359649122807
2019,E02000595,Kensington and Chelsea 019,West End,4,36.0,7124.09,180.11,120.125,231.35,0.16666666666666666,0.0,0.0,2333750.0,0.09027777777777778
2019,E02000619,Lambeth 002,Southbank,4,186.5,31599.105,25.6975,14.623750000000001,47.01,0.9302944051520902,0.005361968834454603,0.7770229276240761,5503427.5,0.26683498811514095
2019,E02000620,Lambeth 003,Southbank,4,224.0,54885.7,57.13,27.595,183.55,0.6547085201793722,0.026905829596412557,0.4388281544274689,23743600.0,0.021583331127494058
2019,E02000621,Lambeth 004,Southbank,4,44.5,22194.0475,171.7275,109.58687499999999,331.64625,0.14376053252443546,0.0965214582631165,0.635185361680735,4366662.5,0.10690331875993642
2019,E02000808,Southwark 002,Southbank,4,2505.0,767041.3725,64.20375,19.97625,225.7075,0.5949373944679136,0.058529282895211455,0.5804222214770026,193661438.75,0.06206767176528924
2019,E02000810,Southwark 004,Southbank,4,20.0,5185.1675,128.51,77.554375,216.1,0.35,0.1,0.4231300238505042,396662.5,0.0
2019,E02000812,Southwark 006,Southbank,4,403.25,138972.05,45.785000000000004,17.66875,163.08375,0.6699082678329633,0.07548778174423426,0.6836676839384073,56371662.5,0.08367235969478713
2019,E02000815,Southwark 009,Southbank,4,120.5,24844.9,56.71000000000001,26.81875,167.0125,0.5809228650137741,0.016597796143250687,0.2376790426594647,6041812.5,0.31820046834989585
2019,E02000868,Tower Hamlets 005,Tech Belt & Midtown,4,32.75,3353.6225000000004,68.275,38.77,105.21375,0.6795343137254902,0.0,0.0,552512.5,0.0
2019,E02000869,Tower Hamlets 006,Tech Belt & Midtown,4,88.25,6209.2075,48.86,27.80625,76.16,0.824491444517882,0.0,0.0,817018.75,0.030791788856304986
2019,E02000872,Tower Hamlets 009,Tech Belt & Midtown,4,125.0,9923.1775,43.65625,24.155625,80.209375,0.8234051209150249,0.008145204851598128,0.10823386821895119,1849257.5,0.12516656441322627
2019,E02000873,Tower Hamlets 010,Tech Belt & Midtown,4,27.25,2794.27,21.5075,16.283749999999998,62.7975,0.7625320512820513,0.0396474358974359,0.3848537133078457,5303952.5,0.0
2019,E02000874,Tower Hamlets 011,Tech Belt & Midtown,4,148.25,6264.995,30.3425,20.026249999999997,44.568124999999995,0.966522798866656,0.0,0.0,1793075.0,0.09862836438923396
