year,MSOA21CD,MSOA21NM,study_submarket,n_quarters,office_units,office_total_floor_area,office_median_floor_area,office_p25_floor_area,office_p75_floor_area,office_small_unit_share,office_large_unit_share,office_large_floor_share,office_total_rateable_value,office_vacancy_proxy,office_units_2019,office_total_floor_area_2019,office_median_floor_area_2019,office_small_unit_share_2019,office_large_unit_share_2019,office_large_floor_share_2019,office_total_rateable_value_2019,office_vacancy_proxy_2019,office_unit_log_change,office_median_size_log_change,office_floor_log_change,office_value_log_change,office_vacancy_proxy_change,small_unit_share_change,large_unit_share_change,large_floor_share_change,log_office_floor_area_2019,z_office_unit_log_change,z_office_median_size_log_change,z_small_unit_share_change,z_large_unit_share_change,fragmentation_index_raw,fragmentation_z,persistent_large_raw,persistent_large_z
2023,E02000001,City of London 001,City,4,13425.25,5784266.75,42.9975,16.799374999999998,237.471875,0.6393256729284573,0.0814299915048542,0.7120578640173096,1918847171.25,0.15771767964501382,14126.75,6144955.77,49.6425,0.6067834234067262,0.09555126436062854,0.7097383758713672,1895141170.0,0.18472161773811954,-0.05093290096813993,-0.14370534721054004,-0.06048994287429296,0.012431242265885982,-0.027003938093105723,0.032542249521731126,-0.014121272855774344,0.0023194881459424055,15.631142265969732,-0.12124912822093468,0.006699526922245898,0.029049176230504736,0.2615488445380771,0.044012104867473256,0.03800538076330424,0.7074188877254248,1.305340164565937
2023,E02000174,Camden 009,Tech Belt & Midtown,4,42.25,6469.9974999999995,72.6,25.589374999999997,197.715625,0.5668720190779014,0.0,0.0,1753462.5,0.3754799836601307,44.25,6892.4175,77.8875,0.6154761904761905,0.0,0.0,1798102.5,0.46898496240601506,-0.0462510176507557,-0.07030055603959005,-0.06324617219810821,-0.025139537641388463,-0.09350497874588437,-0.0486041713982891,0.0,0.0,8.83832224974432,-0.09867775796257763,-0.17014742272678035,-0.9925182294519819,-0.2024671447017748,-0.36595263871077865,-0.4933981138226056,0.0,-1.2278141834160115
2023,E02000177,Camden 012,Tech Belt & Midtown,4,37.5,3818.3675000000003,107.92,68.68625,143.38125,0.43678160919540227,0.0,0.0,1245187.5,0.3856548856548857,33.75,2977.8224999999998,102.71000000000001,0.46576923076923077,0.0,0.0,950225.0,0.4180926916221034,0.10536051565782635,0.04948072872178736,0.24863064653040323,0.27034260131185617,-0.03243780596721768,-0.028987621573828504,0.0,0.0,7.999283367185162,0.6322417933724079,-0.45872470081968714,-0.7455618303229684,-0.2024671447017748,-0.19362797061800557,-0.27002785513015903,0.0,-1.2278141834160115
2023,E02000180,Camden 015,Tech Belt & Midtown,4,55.5,6362.0925,65.745,26.02,192.85,0.5975670307845085,0.0,0.0,1621162.5,0.19645812644819594,35.75,6075.657499999999,100.2875,0.48863636363636365,0.0,0.0,1580537.5,0.11363636363636365,0.4398327516123722,-0.422257438540892,0.04606711885146362,0.025378505429588725,0.08282176281183229,0.10893066714814481,0.0,0.0,8.712210070500992,2.244733213403892,0.6777877063764615,0.9907171923186051,-0.2024671447017748,0.927692741849296,1.1834477290280894,0.0,-1.2278141834160115
2023,E02000183,Camden 018,Tech Belt & Midtown,4,264.75,57361.795,54.4325,23.0,184.45,0.6245232201762749,0.0547872673029366,0.43765040956921497,20157717.5,0.18383193451367835,266.75,54332.3425,57.34,0.6223232339787014,0.052758006948527045,0.4463696413421927,18264975.0,0.17553667929370392,-0.007525905700346911,-0.052037058510886955,0.05425881361005806,0.09860192603906787,0.008295255219974429,0.0021999861975735557,0.0020292603544095553,-0.008719231772977731,10.902893359832431,0.08801609595801763,-0.21414787251147893,-0.35293522770451957,-0.26914734133798157,-0.1870535863989906,-0.2615060229398059,0.43765040956921497,0.33934221731418746
2023,E02000184,Camden 019,Tech Belt & Midtown,4,284.25,58788.4225,63.35,21.38875,190.1,0.6066893150214407,0.03645123895087669,0.3957553185829707,19784931.25,0.19202486957374643,245.75,62028.64249999999,85.47250000000001,0.5436295592960926,0.05468434410026214,0.46258155342487584,18810237.5,0.18224620997509278,0.14553937360336952,-0.29951978001225493,-0.05365131491410921,0.05051933048080765,0.00977865959865365,0.06305975572534817,-0.018233105149385455,-0.06682623484190514,11.035367654610235,0.8259441600844144,0.3820879274982221,0.41323974541230174,0.3966610223704135,0.504483213841338,0.6348761124481979,0.3957553185829707,0.18932257021070825
2023,E02000186,Camden 021,Tech Belt & Midtown,4,554.0,310624.9325,67.41125,17.154375,277.2425,0.5848936863786701,0.0893949401038025,0.7526457707518988,93294686.25,0.2691297073810099,684.75,412036.01,66.1825,0.5678987437275309,0.11337983522170542,0.7572569480332187,121919522.5,0.20929672572507582,-0.21188912139590368,0.018395840393215474,-0.28252456889568917,-0.26759802257285475,0.059832981655934064,0.01699494265113921,-0.023984895117902916,-0.004611177281319989,12.92886845439427,-0.8972194376840388,-0.3838349341791671,-0.16667876549590066,0.5856611599217628,-0.21551799435933597,-0.29840208802438634,0.7526457707518988,1.467290428224505
2023,E02000187,Camden 022,Tech Belt & Midtown,4,388.25,297139.20749999996,37.37,17.725,205.446875,0.690335976570749,0.0963099686823759,0.8598445930694245,161351918.75,0.2133476198288355,424.0,192987.305,41.64625,0.6690928780214495,0.08065992649325983,0.7419901431309588,112090637.5,0.059529338317408385,-0.08808399320316132,-0.10834308504756826,0.43157633157329917,0.3642800028663896,0.1538182815114271,0.02124309854929951,0.015650042189116073,0.11785444993846572,12.170384870196097,-0.30035462946771485,-0.07849529614654648,-0.1131979397168345,-0.7167175159109574,-0.30219134531051334,-0.41074960644979763,0.6241356931924931,1.0071163116189863
2023,E02000188,Camden 023,Tech Belt & Midtown,4,141.75,56845.875,145.52749999999997,42.79625,476.010625,0.3963491010904804,0.0799255820807545,0.5001041704663277,18317990.0,0.35955539091882105,233.5,95736.405,127.05250000000001,0.43229689173447644,0.07691654265024239,0.5539510096555204,27137385.0,0.590796761521319,-0.4991171345010905,0.13576468532409158,-0.5212549754485897,-0.3930286604474209,-0.23124137060249794,-0.03594779064399606,0.003009039430512103,-0.05384683918919264,11.469364357920712,-2.2819463505263533,-0.6666001580664784,-0.8331846950101319,-0.30134225477656207,-1.0207683645948813,-1.3421817482577516,0.5001041704663277,0.5629791864556607
2023,E02000191,Camden 026,West End,4,959.0,194797.9525,52.167500000000004,22.6625,163.84875,0.6557072487022115,0.03423941964511925,0.41307299031145456,84187652.5,0.20666468339083435,946.25,250453.13,67.65,0.5877065174587179,0.04748293280820794,0.4939227459763878,92626617.5,0.19654500200978983,0.013384270131779693,-0.2598876589913943,-0.2513089168571159,-0.09552828075000996,0.01011968138104452,0.0680007312434936,-0.013243513163088687,-0.08084975566493324,12.431031068967227,0.18882410181365458,0.28660615309554527,0.47544260641818,0.232706222752049,0.2958947710198572,0.3645001126046633,0.41307299031145456,0.2513343940354629
