MSOA21CD,MSOA21NM,retail_units_2019,total_rateable_value_2019,median_rateable_value_2019,total_floor_area_2019,median_floor_area_2019,vacancy_proxy_2019,retail_units,total_rateable_value,median_rateable_value,total_floor_area,median_floor_area,vacancy_proxy,retail_units_pct_change_2019,total_rateable_value_pct_change_2019,median_rateable_value_pct_change_2019,total_floor_area_pct_change_2019,median_floor_area_pct_change_2019,vacancy_proxy_change_2019
E02000002,Barking and Dagenham 001,30,1002900.0,7150.0,7371.55,87.01,0.0333333333333333,31.333333333333332,978650.0,7633.333333333333,11577.066666666666,90.58333333333333,0.20194892473118276,0.044444444444444446,-0.02417987835277695,0.0675990675990676,0.5705064289961631,0.04106807646630655,0.16861559139784946
E02000003,Barking and Dagenham 002,164,4554450.0,10750.0,34545.94,76.5,0.0609756097560975,172.33333333333334,4250900.0,12750.0,33158.43666666667,76.95166666666667,0.14342255688989636,0.05081300813008131,-0.06664910142827345,0.18604651162790697,-0.04016400576546289,0.005904139433551216,0.08244694713379887
E02000004,Barking and Dagenham 003,21,227250.0,8700.0,2375.9700000000003,69.62,0.0,18.0,224800.0,9566.666666666666,1985.4466666666667,66.04,0.07254901960784314,-0.14285714285714285,-0.010781078107810782,0.0996168582375479,-0.16436374757818217,-0.05142200517092787,0.07254901960784314
E02000005,Barking and Dagenham 004,82,1043350.0,10000.0,8280.4,64.7,0.0853658536585365,85.33333333333333,2136233.3333333335,10500.0,12829.553333333335,63.449999999999996,0.17937361883879657,0.04065040650406504,1.0474752799476048,0.049999999999999996,0.5493881132956541,-0.01931993817619787,0.0940077651802601
E02000007,Barking and Dagenham 006,46,1390850.0,9000.0,8895.800000000001,83.25,0.0434782608695652,52.666666666666664,1534316.6666666667,10316.666666666666,15913.763333333334,82.345,0.18565137919574606,0.14492753623188406,0.10315035170339482,0.14629629629629629,0.7889074994192015,-0.010870870870870885,0.14217311832618085
E02000008,Barking and Dagenham 007,46,478325.0,9500.0,4031.64,67.0,0.0434782608695652,45.333333333333336,487125.0,9633.333333333334,3581.023333333333,63.595,0.11102872698617376,-0.014492753623188406,0.018397533058067215,0.014035087719298246,-0.11177006544896533,-0.050820895522388033,0.06755046611660856
E02000009,Barking and Dagenham 008,102,1179200.0,9300.0,8181.26,58.26,0.0686274509803921,104.33333333333333,1325866.6666666667,10766.666666666666,9256.896666666666,59.26666666666667,0.08928409400235911,0.022875816993464054,0.12437810945273632,0.15770609318996417,0.13147567326630202,0.017278864858679504,0.02065664302196701
E02000010,Barking and Dagenham 009,16,191500.0,9450.0,2080.91,100.15,0.1875,18.333333333333332,192400.0,10816.666666666666,2144.9366666666665,81.73,0.3109243697478991,0.14583333333333334,0.004699738903394257,0.14462081128747795,0.030768590023915878,-0.18392411382925614,0.12342436974789912
E02000011,Barking and Dagenham 010,71,808550.0,9100.0,5539.58,62.0,0.056338028169014,74.66666666666667,1215825.0,9366.666666666666,7451.143333333333,63.373333333333335,0.1781743494072261,0.051643192488262914,0.5037103456805392,0.029304029304029307,0.34507369391421977,0.02215053763440859,0.12183632123821209
E02000012,Barking and Dagenham 011,44,607300.0,12500.0,3226.75,69.54,0.0227272727272727,46.333333333333336,679916.6666666666,14250.0,3307.0633333333335,69.50333333333334,0.09410225442834137,0.05303030303030303,0.11957297326966354,0.14,0.024889853051315875,-0.0005272744703287566,0.07137498170106867
