workplace_msoa,workplace_msoa_name,mean_station_shock,weighted_shock_numerator,baseline_station_volume,max_station_shock,selected_station_count,station_names,workplace_msoa_station_shock
E02000001,City of London 001,1.39432615810236,1179509.748654152,787484,1.8416603746637972,9,Aldgate; Bank and Monument; Barbican; Blackfriars; Cannon Street; Liverpool Street; Mansion House; Moorgate; St Paul's,1.4978205889315237
E02000177,Camden 012,0.9851989169031028,16521.785836465035,16770,0.9851989169031028,1,Chalk Farm,0.9851989169031028
E02000186,Camden 021,1.072621706537498,14695.990001270262,13701,1.072621706537498,1,Mornington Crescent,1.072621706537498
E02000187,Camden 022,0.8514210742487138,234897.70875340342,275889,0.8514210742487138,1,King's Cross St Pancras,0.8514210742487138
E02000188,Camden 023,0.6998690058934541,90626.03757314337,129490,0.6998690058934541,1,Euston,0.6998690058934541
E02000191,Camden 026,0.9253092149840156,89003.2486814753,95016,0.9571710863264232,2,Goodge Street; Warren Street,0.9367185387879442
E02000193,Camden 028,1.4376085967411332,236988.72857738385,172180,1.6857185790724372,2,Chancery Lane; Holborn,1.3764010255394579
E02000575,Islington 022,1.1921750370701276,117674.82920904402,98706,1.1921750370701276,1,Farringdon,1.1921750370701276
E02000576,Islington 023,1.2959670993184824,120487.35719073864,92971,1.2959670993184824,1,Old Street,1.2959670993184824
E02000588,Kensington and Chelsea 012,0.7264594836856804,34342.64563175685,47274,0.7264594836856804,1,Knightsbridge,0.7264594836856804
E02000594,Kensington and Chelsea 018,0.814758575763068,46078.67125228031,56555,0.814758575763068,1,Sloane Square,0.8147585757630679
E02000621,Lambeth 004,0.7688644335428899,80661.56772298458,104910,0.7688644335428899,1,Vauxhall,0.7688644335428899
E02000808,Southwark 002,0.991370151569928,266930.32014815713,257984,1.042048189551371,2,Borough; London Bridge,1.0346778100508447
E02000874,Tower Hamlets 011,0.6969406603244341,31777.7063481529,45596,0.6969406603244341,1,Bethnal Green,0.6969406603244341
E02000884,Tower Hamlets 021,0.8029169843683173,36487.75943763381,45444,0.8029169843683173,1,Aldgate East,0.8029169843683173
E02000966,Westminster 007,0.6262284477462899,8114.668225896425,12958,0.6262284477462899,1,Warwick Avenue,0.6262284477462899
E02000970,Westminster 011,0.8491269237040153,133934.57976191948,134023,1.037602718923191,2,Bond Street; Regent's Park,0.9993402607158434
E02000971,Westminster 012,0.9060392871129284,72614.62122532193,79000,1.1646428622376988,2,Marble Arch; Marylebone,0.9191724205736953
E02000972,Westminster 013,1.0696472429975648,464741.9847071542,406911,1.2187334540893644,3,Great Portland Street; Oxford Circus; Tottenham Court Road,1.1421219497805521
E02000977,Westminster 018,1.1000504341423325,509041.28216634423,471737,1.262024810466499,6,Charing Cross; Covent Garden; Green Park; Leicester Square; Piccadilly Circus; Temple,1.0790785589562495
E02000978,Westminster 019,0.6672316482261778,8808.124988233772,13201,0.6672316482261778,1,Hyde Park Corner,0.6672316482261778
E02000979,Westminster 020,0.9024421258013668,124344.6883634293,138866,1.1426591652940412,2,Embankment; Westminster,0.8954293229691163
E02000982,Westminster 023,0.8812788705680517,240287.73429134383,272658,0.8812788705680517,1,Victoria,0.8812788705680517
E02000983,Westminster 024,0.8793443582706166,31334.556862615154,35634,0.8793443582706166,1,Pimlico,0.8793443582706166
E02006801,Lambeth 036,1.4315517350248768,401146.5640852009,280218,1.4315517350248768,1,Waterloo,1.4315517350248768
E02006802,Southwark 034,1.2266717859202751,63713.33256069909,51940,1.2266717859202751,1,Southwark,1.2266717859202751
E02006854,Tower Hamlets 033,0.9982937670249769,168422.14143478384,168710,0.9982937670249769,1,Canary Wharf,0.9982937670249769
