origin_msoa,origin_msoa_name,origin_lad_name_guess,commuters_to_selected_workplaces,od_weighted_msoa_exposure_sum,linked_workplace_msoas,linked_workplace_lads,msoa_exposure_per_1000
E02000199,Croydon 006,Croydon,245,276.3896861963824,24,8,0.2763896861963824
E02000238,Ealing 001,Ealing,259,275.9553092107953,24,8,0.2759553092107953
E02000332,Greenwich 020,Greenwich,241,275.1975468224531,23,8,0.27519754682245307
E02000687,Lewisham 035,Lewisham,238,275.16142018182285,23,8,0.2751614201818228
E02000434,Harrow 002,Harrow,247,274.0918760655869,23,8,0.27409187606558694
E02000198,Croydon 005,Croydon,248,273.95216617174117,21,8,0.2739521661717412
E02000682,Lewisham 030,Lewisham,243,273.3356254691995,22,8,0.2733356254691995
E02000760,Redbridge 010,Redbridge,233,273.22893538361785,23,8,0.27322893538361787
E02000108,Brent 016,Brent,255,273.020072271904,25,8,0.273020072271904
E02000097,Brent 005,Brent,256,272.838061818173,25,8,0.272838061818173
E02000402,Haringey 006,Haringey,235,272.6716127336857,22,8,0.27267161273368573
E02000489,Havering 026,Havering,232,272.45409241180454,23,8,0.2724540924118045
E02000754,Redbridge 004,Redbridge,231,271.8298705805162,23,8,0.27182987058051616
E02000776,Redbridge 026,Redbridge,228,271.5136109354293,25,8,0.2715136109354293
E02000139,Bromley 013,Bromley,229,270.47158996065787,21,8,0.27047158996065784
E02000201,Croydon 008,Croydon,229,270.2404524920489,22,8,0.2702404524920489
E02000341,Greenwich 029,Greenwich,230,269.0448910829767,24,8,0.2690448910829767
E02000486,Havering 023,Havering,223,268.70805245649996,21,8,0.2687080524565
E02000033,Barnet 010,Barnet,233,268.6086962511486,24,8,0.26860869625114864
E02000034,Barnet 011,Barnet,239,268.5477312828362,22,8,0.2685477312828362
E02000380,Hammersmith and Fulham 009,Hammersmith and Fulham,240,267.54556323339847,21,8,0.26754556323339845
E02000958,Wandsworth 036,Wandsworth,235,267.47906293862883,23,8,0.26747906293862883
E02000896,Waltham Forest 002,Waltham Forest,224,266.7573227449436,21,8,0.2667573227449436
E02000491,Havering 028,Havering,228,266.5608451596997,23,8,0.2665608451596997
E02006791,Ealing 040,Ealing,241,265.6363240235481,25,8,0.26563632402354814
E02006782,Bromley 040,Bromley,226,265.39462973934224,21,8,0.26539462973934225
E02000601,Kingston upon Thames 004,Kingston upon Thames,230,265.0827715953626,19,8,0.2650827715953626
E02000142,Bromley 016,Bromley,228,264.1185979764154,23,8,0.2641185979764154
E02000334,Greenwich 022,Greenwich,226,263.7589774139332,20,8,0.2637589774139332
E02000202,Croydon 009,Croydon,238,263.56098109111446,24,8,0.2635609810911145
E02000128,Bromley 002,Bromley,227,263.2903620779183,24,8,0.2632903620779183
E02000699,Merton 011,Merton,228,263.0810341909021,20,8,0.26308103419090206
E02000753,Redbridge 003,Redbridge,231,262.8172351802375,22,8,0.26281723518023753
E02000023,Barking and Dagenham 022,Barking and Dagenham,230,262.4573319092526,24,8,0.26245733190925263
E02000678,Lewisham 026,Lewisham,224,262.15305368460537,23,8,0.26215305368460534
E02000196,Croydon 003,Croydon,230,261.7488279692679,22,8,0.2617488279692679
E02000712,Merton 024,Merton,232,261.7193091859508,23,8,0.2617193091859508
E02000081,Bexley 017,Bexley,215,261.3660984342123,23,8,0.26136609843421227
E02000304,Enfield 028,Enfield,222,261.3399564689627,23,8,0.26133995646896274
E02000075,Bexley 011,Bexley,210,261.2587166433795,23,8,0.2612587166433795
E02000248,Ealing 011,Ealing,233,260.874601163807,23,8,0.26087460116380695
E02000327,Greenwich 015,Greenwich,224,260.517285802226,22,8,0.260517285802226
E02000344,Greenwich 032,Greenwich,216,259.2465772008901,22,8,0.2592465772008901
E02006787,Bromley 041,Bromley,223,259.04685540293593,21,8,0.2590468554029359
E02000085,Bexley 021,Bexley,219,258.857071515283,23,8,0.258857071515283
E02000772,Redbridge 022,Redbridge,226,258.84954899253205,24,8,0.25884954899253204
E02000307,Enfield 031,Enfield,227,257.7127424344252,24,8,0.2577127424344252
E02000087,Bexley 023,Bexley,209,256.83138291005287,20,8,0.25683138291005286
E02000044,Barnet 021,Barnet,228,256.6948617051075,22,8,0.25669486170510747
E02000425,Haringey 029,Haringey,227,256.63297802305175,20,8,0.25663297802305174
E02000269,Ealing 032,Ealing,235,256.54553653964416,22,8,0.2565455365396442
E02000291,Enfield 015,Enfield,222,255.5247263734734,22,8,0.2555247263734734
E02000708,Merton 020,Merton,220,255.4571895081194,19,8,0.2554571895081194
E02000716,Newham 003,Newham,232,254.89130531859504,24,8,0.25489130531859505
E02007018,Redbridge 038,Redbridge,216,254.7956510493805,25,8,0.2547956510493805
E02000043,Barnet 020,Barnet,217,254.5223088641589,20,8,0.2545223088641589
E02000239,Ealing 002,Ealing,231,254.33010531728974,23,8,0.2543301053172897
E02000531,Hounslow 006,Hounslow,230,253.78984416397418,24,8,0.25378984416397415
E02007017,Redbridge 037,Redbridge,215,253.3086917492749,25,8,0.2533086917492749
E02000472,Havering 009,Havering,207,252.98798211112114,22,8,0.25298798211112117
E02000900,Waltham Forest 006,Waltham Forest,217,252.904448224337,23,8,0.252904448224337
E02000606,Kingston upon Thames 009,Kingston upon Thames,218,252.89906428172793,23,8,0.2528990642817279
