origin_msoa,origin_msoa_name,origin_lad_name_guess,commuters_to_selected_workplaces,od_weighted_msoa_exposure_sum,linked_workplace_msoas,linked_workplace_lads,msoa_exposure_per_1000
E02000841,Sutton 002,Sutton,157,176.99815041781227,19,8,0.17699815041781228
E02000790,Richmond upon Thames 007,Richmond upon Thames,146,176.51448714604692,18,8,0.17651448714604692
E02000236,Croydon 043,Croydon,151,175.98854644897392,19,7,0.1759885464489739
E02000860,Sutton 021,Sutton,156,175.26758932265923,21,8,0.17526758932265923
E02000159,Bromley 033,Bromley,144,174.8488822267534,20,7,0.1748488822267534
E02000789,Richmond upon Thames 006,Richmond upon Thames,147,174.59482077720108,19,8,0.17459482077720107
E02000155,Bromley 029,Bromley,151,173.42727207744565,22,8,0.17342727207744565
E02000212,Croydon 019,Croydon,150,172.83157923959882,21,8,0.17283157923959883
E02000294,Enfield 018,Enfield,154,172.76051140891173,24,8,0.17276051140891172
E02000605,Kingston upon Thames 008,Kingston upon Thames,153,172.56100303677752,20,8,0.17256100303677752
E02000610,Kingston upon Thames 013,Kingston upon Thames,151,171.76448250670765,20,8,0.17176448250670764
E02000466,Havering 003,Havering,146,171.5060758665106,23,8,0.1715060758665106
E02000092,Bexley 028,Bexley,143,170.46434306094744,18,8,0.17046434306094743
E02000448,Harrow 016,Harrow,151,170.4576369954716,20,8,0.1704576369954716
E02000847,Sutton 008,Sutton,147,170.12313770585487,21,8,0.17012313770585488
E02000492,Havering 029,Havering,142,169.59274620867853,19,8,0.16959274620867854
E02000464,Havering 001,Havering,144,168.91049420353636,20,8,0.16891049420353635
E02000444,Harrow 012,Harrow,150,168.4763685669895,24,8,0.1684763685669895
E02000435,Harrow 003,Harrow,151,168.38906263642914,23,8,0.16838906263642914
E02000844,Sutton 005,Sutton,146,168.19613452123707,18,8,0.16819613452123708
E02000263,Ealing 026,Ealing,149,166.89898646779895,19,8,0.16689898646779894
E02000792,Richmond upon Thames 009,Richmond upon Thames,142,166.0514824475949,20,8,0.1660514824475949
E02000242,Ealing 005,Ealing,152,165.32699966181124,19,7,0.16532699966181125
E02000515,Hillingdon 022,Hillingdon,149,164.33559636413005,22,8,0.16433559636413006
E02000437,Harrow 005,Harrow,142,164.19204848058257,21,8,0.16419204848058258
E02000441,Harrow 009,Harrow,146,163.66783888526953,19,8,0.16366783888526953
E02000794,Richmond upon Thames 011,Richmond upon Thames,142,163.31842178363527,20,8,0.16331842178363526
E02006973,Hounslow 031,Hounslow,155,162.6709016802132,22,8,0.1626709016802132
E02000856,Sutton 017,Sutton,139,162.1995161123957,22,8,0.16219951611239572
E02000599,Kingston upon Thames 002,Kingston upon Thames,146,161.99017356765114,20,8,0.16199017356765114
E02000454,Harrow 022,Harrow,145,161.64875252583457,21,8,0.16164875252583458
E02000500,Hillingdon 007,Hillingdon,142,161.37278215985222,19,8,0.16137278215985223
E02000303,Enfield 027,Enfield,145,161.18569819772077,24,8,0.16118569819772077
E02000614,Kingston upon Thames 017,Kingston upon Thames,141,160.8825585213854,20,8,0.1608825585213854
E02000259,Ealing 022,Ealing,152,160.58323530559318,21,8,0.16058323530559318
E02000842,Sutton 003,Sutton,137,159.92126074626395,21,8,0.15992126074626395
E02000026,Barnet 003,Barnet,140,159.7269322261066,21,8,0.15972693222610662
E02000250,Ealing 013,Ealing,143,159.67578463168755,21,8,0.15967578463168755
E02000283,Enfield 007,Enfield,137,159.3623811129909,21,7,0.1593623811129909
E02000469,Havering 006,Havering,135,159.2543251724869,19,7,0.1592543251724869
E02000209,Croydon 016,Croydon,148,158.5327156047728,22,8,0.15853271560477278
E02000281,Enfield 005,Enfield,142,158.29494929031168,22,8,0.15829494929031168
E02000468,Havering 005,Havering,136,157.00509348054538,21,8,0.1570050934805454
E02000438,Harrow 006,Harrow,140,156.4247379564127,20,8,0.1564247379564127
E02000521,Hillingdon 028,Hillingdon,141,156.3407317687843,21,8,0.1563407317687843
E02000219,Croydon 026,Croydon,136,155.99669747346599,21,8,0.15599669747346598
E02000544,Hounslow 019,Hounslow,142,155.85868072531622,22,8,0.15585868072531622
E02000460,Harrow 028,Harrow,140,155.19497997252952,23,8,0.1551949799725295
E02000849,Sutton 010,Sutton,132,153.6062981957715,19,8,0.1536062981957715
E02000251,Ealing 014,Ealing,142,152.53799365346288,22,8,0.15253799365346288
E02000499,Hillingdon 006,Hillingdon,137,151.86993999202383,21,8,0.15186993999202383
E02000538,Hounslow 013,Hounslow,144,151.2256015552584,21,8,0.1512256015552584
E02000231,Croydon 038,Croydon,128,150.8494695948642,19,8,0.1508494695948642
E02000600,Kingston upon Thames 003,Kingston upon Thames,131,150.3162859687664,20,7,0.1503162859687664
E02000462,Harrow 030,Harrow,134,149.3985063696292,19,8,0.1493985063696292
E02000853,Sutton 014,Sutton,132,149.2128880638181,21,8,0.1492128880638181
E02000289,Enfield 013,Enfield,128,148.28500992931242,19,8,0.14828500992931243
E02000285,Enfield 009,Enfield,127,148.2257798706833,19,8,0.1482257798706833
E02000613,Kingston upon Thames 016,Kingston upon Thames,127,147.70362618452614,19,8,0.14770362618452615
E02000451,Harrow 019,Harrow,130,147.65234489255954,21,8,0.14765234489255954
E02000245,Ealing 008,Ealing,131,146.5852913993681,22,8,0.1465852913993681
E02000249,Ealing 012,Ealing,132,146.36038188987453,21,8,0.14636038188987452
E02000536,Hounslow 011,Hounslow,134,145.94661774633806,19,8,0.14594661774633808
E02000795,Richmond upon Thames 012,Richmond upon Thames,128,145.69764592524788,19,8,0.1456976459252479
E02000859,Sutton 020,Sutton,131,145.31438951741615,21,8,0.14531438951741615
E02000278,Enfield 002,Enfield,125,145.06149592346176,22,8,0.14506149592346176
E02000861,Sutton 022,Sutton,121,144.93586154902553,20,7,0.14493586154902552
E02000852,Sutton 013,Sutton,130,144.78766159588136,20,8,0.14478766159588136
E02000293,Enfield 017,Enfield,124,144.56869731936035,19,8,0.14456869731936034
E02000550,Hounslow 025,Hounslow,125,143.73062158419802,20,8,0.14373062158419803
E02000272,Ealing 035,Ealing,132,142.94317275822812,20,8,0.14294317275822813
E02000545,Hounslow 020,Hounslow,129,141.95903569849438,21,8,0.14195903569849438
E02000854,Sutton 015,Sutton,120,139.75573439729044,20,8,0.13975573439729044
E02000226,Croydon 033,Croydon,123,139.57982074460136,20,8,0.13957982074460137
E02000846,Sutton 007,Sutton,124,139.47996947995227,21,8,0.13947996947995228
E02000713,Merton 025,Merton,123,139.10872084984646,22,8,0.13910872084984646
E02000478,Havering 015,Havering,113,137.88037646141157,17,8,0.13788037646141157
E02000136,Bromley 010,Bromley,120,137.70737659904262,18,8,0.1377073765990426
E02000463,Harrow 031,Harrow,124,137.49361044876304,24,8,0.13749361044876304
E02000290,Enfield 014,Enfield,121,137.29469831341206,22,8,0.13729469831341207
E02000547,Hounslow 022,Hounslow,125,136.75445022842536,21,8,0.13675445022842536
E02000225,Croydon 032,Croydon,125,135.41775489237426,20,8,0.13541775489237426
E02000609,Kingston upon Thames 012,Kingston upon Thames,120,135.3996490295245,18,8,0.1353996490295245
E02000162,Bromley 036,Bromley,114,135.33772267768012,20,8,0.13533772267768013
E02000282,Enfield 006,Enfield,123,135.17796870119676,24,8,0.13517796870119675
E02000804,Richmond upon Thames 021,Richmond upon Thames,115,135.07712716409253,18,8,0.13507712716409254
E02000228,Croydon 035,Croydon,111,134.58740965544536,16,7,0.13458740965544536
E02000855,Sutton 016,Sutton,114,134.54919476561489,21,8,0.1345491947656149
E02000277,Enfield 001,Enfield,117,134.3631181216324,21,8,0.1343631181216324
E02000506,Hillingdon 013,Hillingdon,120,133.44700367240083,21,8,0.13344700367240084
E02000509,Hillingdon 016,Hillingdon,118,133.01735474385058,19,7,0.13301735474385057
E02000165,Bromley 039,Bromley,109,132.74994564423756,21,8,0.13274994564423756
E02006972,Hounslow 030,Hounslow,125,132.26937787563816,21,8,0.13226937787563817
E02000806,Richmond upon Thames 023,Richmond upon Thames,113,130.55230620136115,18,8,0.13055230620136116
E02000603,Kingston upon Thames 006,Kingston upon Thames,118,130.2980054652092,20,7,0.1302980054652092
E02000848,Sutton 009,Sutton,115,129.15792770924364,20,8,0.12915792770924364
E02000237,Croydon 044,Croydon,110,128.9190424851313,21,8,0.1289190424851313
E02000529,Hounslow 004,Hounslow,114,127.07275507334853,21,8,0.12707275507334853
E02000546,Hounslow 021,Hounslow,119,126.88191283095232,20,8,0.12688191283095232
E02006836,Sutton 025,Sutton,104,126.74974570147971,18,8,0.1267497457014797
E02000233,Croydon 040,Croydon,113,126.28508093495901,20,8,0.12628508093495902
E02000602,Kingston upon Thames 005,Kingston upon Thames,111,126.04371007407227,20,8,0.12604371007407228
E02000504,Hillingdon 011,Hillingdon,111,124.52277789012777,18,8,0.12452277789012776
E02000235,Croydon 042,Croydon,107,123.76213845073111,18,8,0.12376213845073111
E02000214,Croydon 021,Croydon,109,122.19361235505713,21,8,0.12219361235505713
E02000535,Hounslow 010,Hounslow,105,121.1135031569004,17,8,0.1211135031569004
E02000523,Hillingdon 030,Hillingdon,110,120.53326243999575,22,8,0.12053326243999575
E02000611,Kingston upon Thames 014,Kingston upon Thames,98,119.60966281168649,15,8,0.11960966281168649
E02000793,Richmond upon Thames 010,Richmond upon Thames,105,116.82661475274192,18,8,0.11682661475274192
E02000218,Croydon 025,Croydon,102,116.42868147053439,21,8,0.11642868147053438
E02000858,Sutton 019,Sutton,100,115.80062954441087,19,8,0.11580062954441087
E02000260,Ealing 023,Ealing,100,115.4490788349068,18,8,0.1154490788349068
E02000514,Hillingdon 021,Hillingdon,100,114.87527386662563,19,8,0.11487527386662563
E02000551,Hounslow 026,Hounslow,106,114.84135810514252,17,6,0.11484135810514252
E02000598,Kingston upon Thames 001,Kingston upon Thames,97,112.24506225146071,19,8,0.1122450622514607
E02000552,Hounslow 027,Hounslow,100,111.75391478351278,18,7,0.11175391478351278
E02000507,Hillingdon 014,Hillingdon,99,111.0453199198191,16,8,0.1110453199198191
E02000275,Ealing 038,Ealing,98,111.01616897084644,19,8,0.11101616897084644
E02000223,Croydon 030,Croydon,97,110.88308750725258,19,8,0.11088308750725258
E02000254,Ealing 017,Ealing,94,108.62065507576622,14,6,0.10862065507576622
E02000801,Richmond upon Thames 018,Richmond upon Thames,94,107.66096630287362,19,8,0.10766096630287361
E02000796,Richmond upon Thames 013,Richmond upon Thames,94,107.00682047969816,18,8,0.10700682047969816
E02000617,Kingston upon Thames 020,Kingston upon Thames,92,105.9202021451215,19,8,0.10592020214512149
E02000511,Hillingdon 018,Hillingdon,95,105.38808129484762,20,8,0.10538808129484763
E02000548,Hounslow 023,Hounslow,95,104.88505856611047,18,8,0.10488505856611047
E02000863,Sutton 024,Sutton,86,104.6498950927802,18,8,0.10464989509278019
E02000518,Hillingdon 025,Hillingdon,90,103.6590242929835,19,7,0.1036590242929835
E02000232,Croydon 039,Croydon,88,102.22491481564846,20,8,0.10222491481564847
E02000522,Hillingdon 029,Hillingdon,92,101.94122128763478,19,8,0.10194122128763478
E02006789,Bromley 042,Bromley,88,101.67093913365336,16,8,0.10167093913365337
E02000799,Richmond upon Thames 016,Richmond upon Thames,88,100.55135560480839,17,8,0.10055135560480839
E02000802,Richmond upon Thames 019,Richmond upon Thames,85,100.10924531552675,17,8,0.10010924531552674
E02000615,Kingston upon Thames 018,Kingston upon Thames,83,98.10197736840325,17,8,0.09810197736840326
E02000510,Hillingdon 017,Hillingdon,84,95.66521518996556,21,7,0.09566521518996557
E02000616,Kingston upon Thames 019,Kingston upon Thames,86,94.7039272653756,19,7,0.0947039272653756
E02000436,Harrow 004,Harrow,82,94.41572523161935,19,8,0.09441572523161935
E02000246,Ealing 009,Ealing,90,93.69236154062658,20,8,0.09369236154062657
E02000513,Hillingdon 020,Hillingdon,83,92.79845022904696,18,8,0.09279845022904697
E02000607,Kingston upon Thames 010,Kingston upon Thames,82,92.58847911995898,17,8,0.09258847911995897
E02000498,Hillingdon 005,Hillingdon,80,92.37780721694605,18,8,0.09237780721694605
E02000519,Hillingdon 026,Hillingdon,83,91.35074798757748,19,8,0.09135074798757747
E02000516,Hillingdon 023,Hillingdon,81,89.49787085266694,20,8,0.08949787085266693
E02000803,Richmond upon Thames 020,Richmond upon Thames,76,87.8828403575788,17,8,0.0878828403575788
E02000229,Croydon 036,Croydon,74,86.59996301541734,16,8,0.08659996301541735
E02000517,Hillingdon 024,Hillingdon,77,85.39120071468172,19,8,0.08539120071468172
E02000530,Hounslow 005,Hounslow,78,82.53387025025455,18,8,0.08253387025025455
E02000525,Hillingdon 032,Hillingdon,71,80.3403640493885,18,8,0.0803403640493885
E02000800,Richmond upon Thames 017,Richmond upon Thames,73,78.95405137845472,18,7,0.07895405137845472
E02000512,Hillingdon 019,Hillingdon,70,76.12458047280644,20,8,0.07612458047280644
E02000496,Hillingdon 003,Hillingdon,67,75.48318987160803,19,8,0.07548318987160803
E02006970,Ealing 043,Ealing,68,75.33476877688368,19,8,0.07533476877688368
E02000524,Hillingdon 031,Hillingdon,62,74.88924092620121,14,8,0.07488924092620121
E02000553,Hounslow 028,Hounslow,62,68.51238286673173,21,8,0.06851238286673172
E02006971,Ealing 044,Ealing,56,64.82819456607511,16,8,0.06482819456607511
