MSOA21CD,MSOA21NM,year,retail_units,total_rateable_value,total_floor_area,retail_vacancy_proxy,occupation_classification_completeness,occupation_classified_records,station_count,top100_station_count,mean_station_shock,weighted_shock_numerator,baseline_station_volume,study_submarket,workplace_msoa_station_shock,high_affected_group,comparison_label
E02000191,Camden 026,2024,467.0,39054650.0,96158.42000000001,0.14150943396226415,1.0,424.0,3,2,0.8213410857242343,120066.06913111988,145656,West End,0.8243125523913871,1,Top-100 affected
E02000191,Camden 026,2025,472.0,38027150.0,96558.34,0.15011547344110854,1.0,433.0,3,2,0.8213410857242343,120066.06913111988,145656,West End,0.8243125523913871,1,Top-100 affected
E02000193,Camden 028,2019,1106.0,72447605.0,152389.21000000002,0.2209660842754368,1.0,973.0,3,2,1.1045262926922328,254377.6598818758,211848,Tech Belt & Midtown,1.2007555411515605,1,Top-100 affected
E02000193,Camden 028,2023,1168.0,66394245.0,159831.79,0.2853080568720379,1.0,1055.0,3,2,1.1045262926922328,254377.6598818758,211848,Tech Belt & Midtown,1.2007555411515605,1,Top-100 affected
E02000193,Camden 028,2024,1027.0,61488900.0,140164.07,0.22054054054054054,1.0,925.0,3,2,1.1045262926922328,254377.6598818758,211848,Tech Belt & Midtown,1.2007555411515605,1,Top-100 affected
E02000193,Camden 028,2025,1044.0,61789435.0,142866.01,0.21624472573839662,1.0,948.0,3,2,1.1045262926922328,254377.6598818758,211848,Tech Belt & Midtown,1.2007555411515605,1,Top-100 affected
E02000566,Islington 013,2019,207.0,4947145.0,18512.289999999994,0.017857142857142856,1.0,168.0,1,0,0.5611939493406878,31298.908942628837,55772,Tech Belt & Midtown,0.5611939493406878,0,Less-affected comparison
E02000566,Islington 013,2023,208.0,4868545.0,18988.71,0.04040404040404041,1.0,198.0,1,0,0.5611939493406878,31298.908942628837,55772,Tech Belt & Midtown,0.5611939493406878,0,Less-affected comparison
E02000566,Islington 013,2024,198.0,4864025.0,17656.849999999995,0.03535353535353535,1.0,198.0,1,0,0.5611939493406878,31298.908942628837,55772,Tech Belt & Midtown,0.5611939493406878,0,Less-affected comparison
E02000566,Islington 013,2025,199.0,4888775.0,17844.589999999997,0.05025125628140704,1.0,199.0,1,0,0.5611939493406878,31298.908942628837,55772,Tech Belt & Midtown,0.5611939493406878,0,Less-affected comparison
